"Дата"	"Всего"	"Денежный агрегат М2"	"Депозиты в иностранной валюте других финансовых организаций"	"Депозиты в иностранной валюте нефинансовых организаций"	"Депозиты в иностранной валюте домашних хозяйств"	"Депозитные и сберегательные сертификаты"
"Апрель 2020"	68158.2	52951.7	358.5	8498.5	6321.0	28.5
"Май 2020"	67856.3	53068.0	335.1	8306.6	6119.0	27.6
"Июнь 2020"	68709.8	54392.6	384.8	7819.4	6088.9	24.1
"Июль 2020"	69794.9	54687.4	415.7	8277.9	6392.4	21.4
"Август 2020"	70823.1	55294.2	383.8	8649.9	6474.6	20.5
"Сентябрь 2020"	72457.7	56023.9	366.5	9235.3	6812.0	19.9
"Октябрь 2020"	72193.0	55871.6	418.5	9131.6	6752.4	18.9
"Ноябрь 2020"	72528.3	56122.6	362.8	9464.4	6560.3	18.2
"Декабрь 2020"	75284.8	58652.1	414.2	9591.5	6613.5	13.5
"Январь 2021"	74937.9	57598.4	398.3	10133.7	6794.3	13.2
"Февраль 2021"	75406.8	58178.2	449.1	10134.8	6632.2	12.5
"Март 2021"	75405.9	58261.6	450.2	10017.7	6666.7	9.8
"Апрель 2021"	76265.7	59206.3	427.6	10018.9	6605.2	7.6
"Май 2021"	76333.2	59194.1	424.7	10147.4	6560.0	7.0
"Июнь 2021"	76053.2	59583.9	448.1	9484.8	6529.9	6.5
"Июль 2021"	76079.3	59379.7	459.1	9648.0	6586.1	6.4
"Август 2021"	77339.2	59816.9	463.6	10414.5	6637.3	6.9
"Сентябрь 2021"	78285.0	60606.2	498.2	10508.2	6665.7	6.8
"Октябрь 2021"	77916.5	60813.7	428.5	10132.3	6535.9	6.1
"Ноябрь 2021"	80311.1	62312.5	501.9	10727.0	6763.7	6.0
"Декабрь 2021"	83761.5	66252.9	482.2	10304.9	6715.8	5.8
"Январь 2022"	83994.8	65310.3	455.3	11355.6	6867.8	5.7
"Февраль 2022"	85635.2	66659.7	555.1	11757.1	6657.6	5.7
"Март 2022"	85495.3	68203.5	393.7	10976.2	5916.5	5.3
"Апрель 2022"	83694.8	68475.3	461.5	9759.7	4993.2	5.1
"Май 2022"	82926.6	68993.4	406.9	8934.9	4586.4	5.1
"Июнь 2022"	80801.7	69623.2	257.5	7208.4	3707.6	5.0
"Июль 2022"	83828.9	70825.4	320.7	8411.8	4266.1	4.9
"Август 2022"	85693.0	73333.3	312.3	8022.8	4019.7	5.0
"Сентябрь 2022"	86137.8	75096.8	273.2	7342.8	3420.2	4.8
"Октябрь 2022"	86655.5	75636.5	268.0	7300.6	3445.6	4.8
"Ноябрь 2022"	87797.6	76873.3	314.3	7226.2	3379.1	4.7
"Декабрь 2022"	94715.4	82388.0	318.4	8197.4	3806.9	4.7
"Январь 2023"	94495.6	82221.7	325.2	8209.0	3735.1	4.7
"Февраль 2023"	97054.6	83955.9	328.2	8840.2	3925.7	4.5
"Март 2023"	97775.0	84813.4	408.9	8783.7	3764.6	4.5
"Апрель 2023"	97850.4	84636.0	422.9	9035.1	3751.9	4.4
"Май 2023"	99238.6	86197.3	469.1	8887.4	3680.3	4.5
"Июнь 2023"	100918.6	87276.8	341.4	9423.3	3872.7	4.4
"Июль 2023"	102686.8	88294.0	367.7	10051.4	3969.3	4.3
"Август 2023"	105446.2	90110.9	395.5	10876.8	4058.7	4.3
"Сентябрь 2023"	106149.3	90597.3	483.7	11015.1	4048.8	4.3
"Октябрь 2023"	106005.1	91134.7	403.8	10643.5	3818.9	4.2
"Ноябрь 2023"	106827.8	92546.9	366.5	10258.7	3651.4	4.2
"Декабрь 2023"	112483.1	98385.4	450.9	9644.4	3998.2	4.2
"Январь 2024"	111777.1	97816.7	394.2	9618.7	3943.4	4.1
"Февраль 2024"	113844.5	99422.0	431.7	9977.8	4008.9	4.1
"Март 2024"	114105.6	99595.8	455.1	10019.9	4030.8	4.1
"Апрель 2024"	117596.9	103107.4	460.9	10054.5	3970.1	4.1
"Май 2024"	116959.2	102519.1	432.8	10099.2	3904.0	4.1
"Июнь 2024"	116809.2	103557.2	474.8	9119.1	3654.0	4.0
"Июль 2024"	117933.8	104351.3	410.3	9511.9	3656.3	4.0
"Август 2024"	119977.5	106242.7	407.3	9543.4	3780.3	4.0
"Сентябрь 2024"	121759.3	107629.5	426.9	9877.8	3821.2	4.0
"Октябрь 2024"	123407.3	108947.9	463.3	10089.1	3903.1	3.9
"Ноябрь 2024"	126512.0	111025.2	464.6	10876.7	4141.6	3.9
"Декабрь 2024"	131138.2	117256.4	408.5	9618.1	3851.4	3.9
"Январь 2025"	130438.3	116577.8	410.0	9713.1	3733.6	3.8
"Февраль 2025"	130221.3	117697.6	303.7	8861.7	3354.5	3.8
"Март 2025"	128595.6	116505.6	292.6	8566.2	3227.4	3.8
